"","X","Site","Species","ReadingDateTime","Value","Units"
"1",1,"SK8","NO2","01/01/2022 00:00",13.5,"ug m-3"
"2",2,"SK8","NO2","02/01/2022 00:00",8.5,"ug m-3"
"3",3,"SK8","NO2","03/01/2022 00:00",13.7,"ug m-3"
"4",4,"SK8","NO2","04/01/2022 00:00",28,"ug m-3"
"5",5,"SK8","NO2","05/01/2022 00:00",33.3,"ug m-3"
"6",6,"SK8","NO2","06/01/2022 00:00",45.6,"ug m-3"
"7",7,"SK8","NO2","07/01/2022 00:00",22.9,"ug m-3"
"8",8,"SK8","NO2","08/01/2022 00:00",25.1,"ug m-3"
"9",9,"SK8","NO2","09/01/2022 00:00",33.6,"ug m-3"
"10",10,"SK8","NO2","10/01/2022 00:00",64,"ug m-3"
"11",11,"SK8","NO2","11/01/2022 00:00",38.8,"ug m-3"
"12",12,"SK8","NO2","12/01/2022 00:00",70.6,"ug m-3"
"13",13,"SK8","NO2","13/01/2022 00:00",73.6,"ug m-3"
"14",14,"SK8","NO2","14/01/2022 00:00",92.5,"ug m-3"
"15",15,"SK8","NO2","15/01/2022 00:00",55.4,"ug m-3"
"16",16,"SK8","NO2","16/01/2022 00:00",34,"ug m-3"
"17",17,"SK8","NO2","17/01/2022 00:00",72.3,"ug m-3"
"18",18,"SK8","NO2","18/01/2022 00:00",74.1,"ug m-3"
"19",19,"SK8","NO2","19/01/2022 00:00",36.5,"ug m-3"
"20",20,"SK8","NO2","20/01/2022 00:00",38.3,"ug m-3"
"21",21,"SK8","NO2","21/01/2022 00:00",56.5,"ug m-3"
"22",22,"SK8","NO2","22/01/2022 00:00",31.7,"ug m-3"
"23",23,"SK8","NO2","23/01/2022 00:00",36.1,"ug m-3"
"24",24,"SK8","NO2","24/01/2022 00:00",46.6,"ug m-3"
"25",25,"SK8","NO2","25/01/2022 00:00",39.4,"ug m-3"
"26",26,"SK8","NO2","26/01/2022 00:00",36.7,"ug m-3"
"27",27,"SK8","NO2","27/01/2022 00:00",34.2,"ug m-3"
"28",28,"SK8","NO2","28/01/2022 00:00",45.3,"ug m-3"
"29",29,"SK8","NO2","29/01/2022 00:00",17.9,"ug m-3"
"30",30,"SK8","NO2","30/01/2022 00:00",27.8,"ug m-3"
"31",31,"SK8","NO2","31/01/2022 00:00",23.9,"ug m-3"
"32",32,"SK8","NO2","01/02/2022 00:00",21.1,"ug m-3"
"33",33,"SK8","NO2","02/02/2022 00:00",33,"ug m-3"
"34",34,"SK8","NO2","03/02/2022 00:00",24.7,"ug m-3"
"35",35,"SK8","NO2","04/02/2022 00:00",22,"ug m-3"
"36",36,"SK8","NO2","05/02/2022 00:00",17.4,"ug m-3"
"37",37,"SK8","NO2","06/02/2022 00:00",8.9,"ug m-3"
"38",38,"SK8","NO2","07/02/2022 00:00",29.4,"ug m-3"
"39",39,"SK8","NO2","08/02/2022 00:00",17.4,"ug m-3"
"40",40,"SK8","NO2","09/02/2022 00:00",24.6,"ug m-3"
"41",41,"SK8","NO2","10/02/2022 00:00",29.2,"ug m-3"
"42",42,"SK8","NO2","11/02/2022 00:00",55.2,"ug m-3"
"43",43,"SK8","NO2","12/02/2022 00:00",26.8,"ug m-3"
"44",44,"SK8","NO2","13/02/2022 00:00",15.6,"ug m-3"
"45",45,"SK8","NO2","14/02/2022 00:00",18.8,"ug m-3"
"46",46,"SK8","NO2","15/02/2022 00:00",28.8,"ug m-3"
"47",47,"SK8","NO2","16/02/2022 00:00",10.7,"ug m-3"
"48",48,"SK8","NO2","17/02/2022 00:00",17.4,"ug m-3"
"49",49,"SK8","NO2","18/02/2022 00:00",11.2,"ug m-3"
"50",50,"SK8","NO2","19/02/2022 00:00",17.4,"ug m-3"
"51",51,"SK8","NO2","20/02/2022 00:00",7.7,"ug m-3"
"52",52,"SK8","NO2","21/02/2022 00:00",17.2,"ug m-3"
"53",53,"SK8","NO2","22/02/2022 00:00",24.2,"ug m-3"
"54",54,"SK8","NO2","23/02/2022 00:00",28.6,"ug m-3"
"55",55,"SK8","NO2","24/02/2022 00:00",18.5,"ug m-3"
"56",56,"SK8","NO2","25/02/2022 00:00",42.9,"ug m-3"
"57",57,"SK8","NO2","26/02/2022 00:00",47,"ug m-3"
"58",58,"SK8","NO2","27/02/2022 00:00",23.6,"ug m-3"
"59",59,"SK8","NO2","28/02/2022 00:00",39.1,"ug m-3"
"60",60,"SK8","NO2","01/03/2022 00:00",44.8,"ug m-3"
"61",61,"SK8","NO2","02/03/2022 00:00",62.3,"ug m-3"
"62",62,"SK8","NO2","03/03/2022 00:00",58,"ug m-3"
"63",63,"SK8","NO2","04/03/2022 00:00",41.8,"ug m-3"
"64",64,"SK8","NO2","05/03/2022 00:00",23.1,"ug m-3"
"65",65,"SK8","NO2","06/03/2022 00:00",19,"ug m-3"
"66",66,"SK8","NO2","07/03/2022 00:00",33.7,"ug m-3"
"67",67,"SK8","NO2","08/03/2022 00:00",41,"ug m-3"
"68",68,"SK8","NO2","09/03/2022 00:00",32.3,"ug m-3"
"69",69,"SK8","NO2","10/03/2022 00:00",38.5,"ug m-3"
"70",70,"SK8","NO2","11/03/2022 00:00",34.3,"ug m-3"
"71",71,"SK8","NO2","12/03/2022 00:00",19.5,"ug m-3"
"72",72,"SK8","NO2","13/03/2022 00:00",22,"ug m-3"
"73",73,"SK8","NO2","14/03/2022 00:00",42.9,"ug m-3"
"74",74,"SK8","NO2","15/03/2022 00:00",54.2,"ug m-3"
"75",75,"SK8","NO2","16/03/2022 00:00",39.5,"ug m-3"
"76",76,"SK8","NO2","17/03/2022 00:00",33,"ug m-3"
"77",77,"SK8","NO2","18/03/2022 00:00",50.8,"ug m-3"
"78",78,"SK8","NO2","19/03/2022 00:00",28.7,"ug m-3"
"79",79,"SK8","NO2","20/03/2022 00:00",33.2,"ug m-3"
"80",80,"SK8","NO2","21/03/2022 00:00",68.6,"ug m-3"
"81",81,"SK8","NO2","22/03/2022 00:00",69.7,"ug m-3"
"82",82,"SK8","NO2","23/03/2022 00:00",85.6,"ug m-3"
"83",83,"SK8","NO2","24/03/2022 00:00",92.6,"ug m-3"
"84",84,"SK8","NO2","25/03/2022 00:00",68.1,"ug m-3"
"85",85,"SK8","NO2","26/03/2022 00:00",43.1,"ug m-3"
"86",86,"SK8","NO2","27/03/2022 00:00",32.2,"ug m-3"
"87",87,"SK8","NO2","28/03/2022 00:00",58.9,"ug m-3"
"88",88,"SK8","NO2","29/03/2022 00:00",36.6,"ug m-3"
"89",89,"SK8","NO2","30/03/2022 00:00",29.3,"ug m-3"
"90",90,"SK8","NO2","31/03/2022 00:00",18.9,"ug m-3"
"91",91,"SK8","NO2","01/04/2022 00:00",25.8,"ug m-3"
"92",92,"SK8","NO2","02/04/2022 00:00",32,"ug m-3"
"93",93,"SK8","NO2","03/04/2022 00:00",36.2,"ug m-3"
"94",94,"SK8","NO2","04/04/2022 00:00",14.1,"ug m-3"
"95",95,"SK8","NO2","05/04/2022 00:00",11.5,"ug m-3"
"96",96,"SK8","NO2","06/04/2022 00:00",8.4,"ug m-3"
